name,ats,slug,career_url,hq,region,industry,priority,visa_sponsor,writer_frequency,avg_salary_usd,remote,notes
Anthropic,greenhouse,anthropic,https://www.anthropic.com/careers,San Francisco,US,AI,5,yes,high,140000-200000,hybrid,Direct AI docs experience match
OpenAI,google,,https://openai.com/careers,San Francisco,US,AI,5,yes,high,160000-250000,no,Top AI company - SDK/API docs
Mistral AI,lever,mistral,https://mistral.ai/careers,Paris,EU,AI,5,yes,medium,80000-130000,hybrid,EU-based AI - already applying
Cohere,google,,https://cohere.com/careers,Toronto,Remote,AI,5,yes,medium,120000-170000,yes,API/SDK docs focus
Hugging Face,google,,https://huggingface.co/jobs,Paris,EU,AI,5,yes,medium,90000-150000,yes,Open-source AI - EU based
DeepL,google,,https://www.deepl.com/careers,Cologne,EU,AI,5,yes,medium,70000-110000,hybrid,EU AI + bilingual value
Google DeepMind,google,,https://deepmind.google/careers,London,EU,AI,5,yes,high,120000-180000,no,Top AI research
Meta AI,google,,https://www.metacareers.com,Menlo Park,US,AI,4,yes,high,150000-220000,hybrid,Large AI division
xAI,greenhouse,xai,https://x.ai/careers,San Francisco,US,AI,4,yes,medium,150000-230000,no,Growing AI company
Inflection AI,greenhouse,inflectionai,https://inflection.ai/careers,Palo Alto,US,AI,4,yes,low,140000-200000,no,Conversational AI
Perplexity AI,google,,https://www.perplexity.ai/careers,San Francisco,US,AI,4,yes,medium,140000-200000,hybrid,AI search
Stability AI,greenhouse,stabilityai,https://stability.ai/careers,London,EU,AI,4,yes,low,90000-140000,yes,EU-based AI
ElevenLabs,google,,https://elevenlabs.io/careers,London,EU,AI,4,yes,low,80000-130000,yes,EU AI - voice/audio
Runway,google,,https://runwayml.com/careers,New York,US,AI,4,yes,low,130000-180000,hybrid,Creative AI
Character AI,google,,https://character.ai/careers,Menlo Park,US,AI,3,yes,low,140000-200000,no,Conversational AI
Aleph Alpha,google,,https://aleph-alpha.com/careers,Heidelberg,EU,AI,4,yes,low,70000-110000,hybrid,EU sovereign AI
Databricks,greenhouse,databricks,https://www.databricks.com/company/careers,San Francisco,US,AI/Data,5,yes,high,140000-200000,hybrid,Data+AI platform - strong docs team
Scale AI,greenhouse,scaleai,https://scale.com/careers,San Francisco,US,AI,4,yes,medium,130000-190000,hybrid,AI data platform
Weights & Biases,google,,https://wandb.ai/careers,San Francisco,US,AI/ML,5,yes,medium,130000-180000,yes,ML developer tools - docs focused
LangChain,google,,https://www.langchain.com/careers,San Francisco,US,AI,5,yes,medium,130000-180000,yes,LLM framework - heavy docs needs
Replicate,google,,https://replicate.com/about,San Francisco,US,AI,4,yes,low,130000-180000,yes,ML API platform
Together AI,greenhouse,togetherai,https://www.together.ai/careers,San Francisco,US,AI,4,yes,medium,140000-200000,hybrid,AI infrastructure
Pinecone,google,,https://www.pinecone.io/careers,New York,US,AI,4,yes,medium,130000-180000,yes,Vector DB - API docs
Weaviate,google,,https://weaviate.io/company/careers,Amsterdam,EU,AI,5,yes,low,70000-110000,yes,EU vector DB - developer docs
Qdrant,google,,https://qdrant.tech/careers,Berlin,EU,AI,4,yes,low,60000-100000,yes,EU vector DB
Chroma,google,,https://www.trychroma.com/careers,San Francisco,US,AI,3,yes,low,120000-170000,yes,Vector DB
Modal,google,,https://modal.com/careers,New York,US,AI,4,yes,low,140000-190000,yes,Serverless AI infra
Anyscale,lever,anyscale,https://www.anyscale.com/careers,San Francisco,US,AI,4,yes,medium,140000-190000,hybrid,Ray/AI infra
AssemblyAI,greenhouse,assemblyai,https://www.assemblyai.com/careers,San Francisco,US,AI,4,yes,medium,120000-170000,yes,Speech AI - API docs
Cerebras,google,,https://cerebras.ai/careers,Sunnyvale,US,AI,3,yes,low,140000-200000,no,AI hardware
NVIDIA,google,,https://nvidia.wd5.myworkdayjobs.com,Santa Clara,US,AI/Hardware,4,yes,high,140000-210000,hybrid,AI hardware + SDK docs
Stripe,greenhouse,stripe,https://stripe.com/jobs,San Francisco,US,Fintech/DevTools,5,yes,high,150000-220000,hybrid,Gold standard API docs
Cloudflare,greenhouse,cloudflare,https://www.cloudflare.com/careers,San Francisco,US,Cloud,5,yes,high,130000-190000,hybrid,Developer platform - strong docs
Vercel,greenhouse,vercel,https://vercel.com/careers,San Francisco,US,DevTools,5,yes,medium,140000-200000,yes,Frontend infra - docs-as-code
Twilio,greenhouse,twilio,https://www.twilio.com/company/jobs,San Francisco,US,Communication,5,yes,high,120000-180000,yes,API/SDK docs - comms platform match
Figma,greenhouse,figma,https://www.figma.com/careers,San Francisco,US,Design,4,yes,medium,140000-200000,hybrid,Design tools
Notion,google,,https://www.notion.so/careers,San Francisco,US,Productivity,4,yes,medium,130000-190000,hybrid,Knowledge management
Discord,greenhouse,discord,https://discord.com/careers,San Francisco,US,Communication,4,yes,medium,130000-190000,hybrid,Communication platform
Linear,google,,https://linear.app/careers,San Francisco,US,DevTools,4,yes,low,140000-190000,yes,Project management
Postman,greenhouse,postman,https://www.postman.com/company/careers,San Francisco,US,DevTools,5,yes,medium,120000-170000,yes,API tools - direct domain match
GitLab,greenhouse,gitlab,https://about.gitlab.com/jobs,San Francisco,Remote,DevTools,5,yes,high,110000-170000,yes,All-remote - strong docs culture
